Sugar Mill Source,Ethanol Plant Destination,Bagasse Allocated (MT),Transport Distance (km),Ton-Kilometers
Agasti Sahakari Sakhar Karkhana Ltd. – Agasti,ARSS Bio-fuels Ltd.,6916.0,50.97,352504.64
Ajinkyatara Sahakari Sakhar Karkhana Ltd.,Ajinkyatara SSK Ltd.,6916.0,3.2,22111.94
Jaywant Sugars Ltd. – Jaywant,Ajinkyatara SSK Ltd.,6916.0,20.47,141545.63
Kisanveer Satara SSK Ltd. – Bhuinj,Ajinkyatara SSK Ltd.,11065.6,25.9,286607.68
Sahyadri Sahakari Sakhar Karkhana Ltd. – Sahyadri,Ajinkyatara SSK Ltd.,10035.6,34.82,349434.63
Shri Tatyasaheb Kore Warana S.S.K. Ltd.,Ajinkyatara SSK Ltd.,10066.8,88.31,888994.73
"Shivgiri Agro Sugar Works Pvt. Ltd. (Bhairavnath Sugar Works Ltd., Unit-II)",Baramati Agro Ltd.,6916.0,30.15,208484.35
Kamalabhavani Global Corp. Ltd.,Baramati Agro Ltd.,13832.0,40.02,553622.87
Bhaurao Chavan Sahakari Sakhar Karkhana Ltd.,Bhaurao Chavan SSK Ltd.,9682.4,0.09,870.73
Bhaurao Chavan Sahakari Sakhar Karkhana Ltd. (Unit-2),Bhaurao Chavan SSK Ltd.,3458.0,20.18,69799.09
Shivaji Service Station (Sugar Unit),Bhaurao Chavan SSK Ltd.,3458.0,32.12,111058.38
Twenty One Sugars Ltd. (Unit-3),Bhaurao Chavan SSK Ltd.,1429.2,34.74,49646.91
Kunturkar Sugar & Agro Pvt. Ltd.,Bhaurao Chavan SSK Ltd.,6916.0,35.13,242927.15
Shri Subhash Sugar Pvt. Ltd.,Bhaurao Chavan SSK Ltd.,9682.4,39.32,380721.38
M.V.K. Agro Food Product Ltd.,Bhaurao Chavan SSK Ltd.,3458.0,42.03,145342.47
Vasant Sahakari Sakhar Karkhana Ltd.,Bhaurao Chavan SSK Ltd.,6916.0,69.43,480147.4
MRN Bhima Sugar And Power Pvt. Ltd. (Bhima Sahakari Sakhar Karkhana Ltd.),Bhima SSK Ltd.,13832.0,14.28,197501.51
Sahakar Maharshi Shivajirao Narayanrao Nagawade Sahakari Sakhar Karkhana Ltd.,Bhima SSK Ltd.,13832.0,14.61,202129.62
Gauri Sugar and Distilleries Pvt. Ltd. (Unit No. 04),Bhima SSK Ltd.,20748.0,22.88,474670.03
OSG Green Energy Pvt. Ltd. (Unit No. 12),Bhima SSK Ltd.,6916.0,36.84,254767.78
Baramati Agro Ltd. (Unit-2),Chitali Distillery Ltd.,2582.08,82.58,213230.38
Daund Sugar Pvt. Ltd.,Daund Sugars Pvt. Ltd.,16598.4,0.0,40.08
Shri Ambalika Sugars Pvt. Ltd. – Jagdamba,Daund Sugars Pvt. Ltd.,20748.0,17.81,369582.84
Baramati Agro Ltd. (Unit-1),Daund Sugars Pvt. Ltd.,3627.2,17.99,65246.91
Moolchand Sugar Pvt. Ltd. (Operator of Jailaxmi Sugar),Dr. Babasaheb Ambedkar SSK Ltd.,9682.4,2.97,28751.69
Dr. Babasaheb Ambedkar Sahakari Sakhar Karkhana Ltd.,Dr. Babasaheb Ambedkar SSK Ltd.,13832.0,7.18,99270.24
Manjra Sugar Industries Pvt. Ltd.,Dr. Babasaheb Ambedkar SSK Ltd.,9682.4,27.49,266131.77
Shri Tuljabhavani Shetkari Sahakari Sakhar Karkhana Ltd.,Dr. Babasaheb Ambedkar SSK Ltd.,2151.6,48.56,104488.54
Shri Tuljabhavani Shetkari Sahakari Sakhar Karkhana Ltd.,Dr. Babasaheb Ambedkar SSK Ltd.,2151.6,48.56,104488.54
Dr. Baburao Bapuji Tanpure S.S.K. Ltd. – Rahuri,Dr. Baburao Bapuji Tanpure SSK Ltd.,9559.2,7.66,73220.92
Prasad Sugar and Allied Agro Products Ltd.,Dr. Baburao Bapuji Tanpure SSK Ltd.,6916.0,10.53,72859.89
Mula Sahakari Sakhar Karkhana Ltd.,Dr. Baburao Bapuji Tanpure SSK Ltd.,13524.8,19.83,268257.07
Twenty One Sugars Ltd. (Unit-2),Gangakhed Sugar & Energy Ltd.,9682.4,14.78,143141.53
G7 Sugar Ltd.,Gangakhed Sugar & Energy Ltd.,5409.6,18.41,99608.88
Siddhi Sugar and Allied Industries Pvt. Ltd.,Gangakhed Sugar & Energy Ltd.,5532.8,26.64,147407.02
Shri Laxmi Narshinha Sugars LLP,Gangakhed Sugar & Energy Ltd.,6916.0,30.23,209049.77
Twenty One Sugars Ltd. (Unit-3),Gangakhed Sugar & Energy Ltd.,2459.2,42.95,105626.46
Jai Hind Sugar (Unit-2) / Gangapur Sugar Factory,Gangapur SSK Ltd.,5532.8,11.51,63677.83
Mukteshwar Sugar Mills Ltd.,Gangapur SSK Ltd.,3458.0,17.69,61159.28
Ghrushneshwar Sugars Pvt. Ltd.,Gangapur SSK Ltd.,6916.0,46.58,322125.76
Chhatrapati Sambhaji Raje Sakhar Udyog Ltd.,Gangapur SSK Ltd.,261.2,52.21,13637.73
Deogiri Sahakari Sakhar Karkhana Ltd.,Gangapur SSK Ltd.,6916.0,60.56,418845.63
Deogiri Sahakari Sakhar Karkhana Ltd.,Gangapur SSK Ltd.,6916.0,60.56,418845.63
Krushinath Green Energy Ltd. (Sopanrao),Ghodganga SSK Ltd.,3458.0,13.76,47596.43
Shree Kranti Sugar and Power Ltd.,Ghodganga SSK Ltd.,3458.0,20.51,70925.78
Raosahebdada Pawar Ghodganga Sahakari Sakhar Karkhana Ltd.,Ghodganga SSK Ltd.,13832.0,22.0,304288.85
Shreenath Mhaskoba Sakhar Karkhana Ltd.,Ghodganga SSK Ltd.,6916.0,31.28,216353.25
Kumbhi-Kasari S.S.K. Ltd.,Karan Sugars Pvt. Ltd.,4456.8,12.78,56976.01
Shree Chhatrapati Shahu S.S.K. Ltd.,Karan Sugars Pvt. Ltd.,7561.6,13.98,105718.92
Shree Bhogawati Sahakari Sakhar Karkhana Ltd.,Karan Sugars Pvt. Ltd.,11065.6,22.72,251422.07
Athani Sugars Ltd. (Bhudargad Unit-4),Karan Sugars Pvt. Ltd.,6916.0,64.99,449479.65
Karmayogi Shankarraoji Patil S.S.K. Ltd.,Karmayogi Shankarraoji Patil SSK Ltd.,22131.2,0.0,81.21
Loknete Balasaheb Desai SSK Ltd. – Marali,Kisanveer Satara SSK Ltd.,3458.0,32.35,111873.62
Dalmia Bharat Sugar and Industries Ltd. (Ninaidevi),Kisanveer Satara SSK Ltd.,13832.0,55.69,770339.47
Vishwasrao Naik Sahakari Sakhar Karkhana Ltd.,Kisanveer Satara SSK Ltd.,6916.0,76.33,527915.84
Shri Tatyasaheb Kore Warana S.S.K. Ltd.,Kisanveer Satara SSK Ltd.,5794.0,89.58,519032.14
Gudagunti-Pratapgad Sugars & Bioenergies Pvt. Ltd. – Songaon,Laxmi Organic Industries Ltd.,6916.0,58.33,403403.38
Shree Siddheshwar S.S.K. Ltd.,Lokmangal Agro Industries Ltd.,20748.0,20.08,416610.84
Gokul Sugar Industries Ltd.,Lokmangal Agro Industries Ltd.,9682.4,26.8,259511.22
Jai Hind Sugar Pvt. Ltd.,Lokmangal Agro Industries Ltd.,9682.4,35.23,341126.19
Onkar Sakhar Karkhana Pvt. Ltd. Unit 15 (Matoshri Laxmi Sugar),Lokmangal Agro Industries Ltd.,4887.2,69.23,338346.39
Lokmangal Sugar Ethanol & Co-generation Industries Ltd.,"Lokmangal Sugar, Ethanol & Cogeneration Industries Ltd.",16598.4,0.33,5539.77
Lokshakti Sugar and Allied Industries Ltd.,"Lokmangal Sugar, Ethanol & Cogeneration Industries Ltd.",13693.68,16.02,219335.5
Onkar Power Corporation Pvt. Ltd. Unit No. 5 (GM Sugar),"Lokmangal Sugar, Ethanol & Cogeneration Industries Ltd.",13002.08,28.52,370756.64
Onkar Sakhar Karkhana Pvt. Ltd. Unit 15 (Matoshri Laxmi Sugar),"Lokmangal Sugar, Ethanol & Cogeneration Industries Ltd.",1705.84,66.66,113703.86
Loknete Baburao Patil Agro Industries Ltd.,Loknete Baburao Patil SSK Ltd.,10733.63,6.66,71485.51
Bhima Sahakari Sakhar Karkhana Ltd.,Loknete Baburao Patil SSK Ltd.,6685.68,16.25,108667.58
Lokmangal Agro Industries Ltd.,Loknete Baburao Patil SSK Ltd.,6916.0,17.56,121446.06
Babanraoji Shinde Sugar & Allied Industries Ltd.,Loknete Baburao Patil SSK Ltd.,976.93,22.67,22151.56
Jakraya Sugar Ltd.,Loknete Baburao Patil SSK Ltd.,9682.4,27.93,270460.0
Swami Samarth Sahakari Sakhar Karkhana Ltd. (Closed),Loknete Baburao Patil SSK Ltd.,6916.0,66.97,463184.45
Onkar Sakhar Karkhana Pvt. Ltd. Unit 15 (Matoshri Laxmi Sugar),Loknete Baburao Patil SSK Ltd.,3089.36,90.66,280077.78
"NSL Sugars Ltd., Unit-3 Jay Mahesh",Majalgaon SSK Ltd.,12448.8,4.38,54574.1
Chhatrapati Sahakari Sakhar Karkhana Ltd.,Majalgaon SSK Ltd.,3458.0,11.33,39185.69
Loknete Sundarraoji Solanke Sahakari Sakhar Karkhana Ltd.,Majalgaon SSK Ltd.,13832.0,20.68,286047.66
Shree Renuka Sugars Ltd.,Majalgaon SSK Ltd.,3458.0,25.08,86738.28
Samrudhi Sugars Ltd.,Majalgaon SSK Ltd.,6916.0,36.4,251751.0
Jai Bhawani Sahakari Sakhar Karkhana Ltd.,Majalgaon SSK Ltd.,6916.0,48.43,334956.55
Shree Tuljabhavani Sugar Pvt. Ltd.,Majalgaon SSK Ltd.,8760.0,56.78,497389.03
Karmayogi Ankushrao Tope Samarth Sahakari Sakhar Karkhana Ltd.,Majalgaon SSK Ltd.,5855.6,60.42,353813.24
Karmayogi Ankushrao Tope Samarth Sahakari Sakhar Karkhana Ltd.,Majalgaon SSK Ltd.,5855.6,60.42,353813.24
Shri Chhatrapati Sahakari Sakhar Karkhana Ltd.,Malegaon SSK Ltd.,12879.2,11.7,150635.46
Baramati Agro Ltd. (Unit-1),Malegaon SSK Ltd.,17120.8,16.67,285374.05
Lokmangal Mauli Industries Ltd.,Manjara Shetkari SSK Ltd.,16598.4,50.4,836514.38
Yedeshwari Agro Products Ltd. Unit No. 2,Natural Sugar & Allied Ind. Ltd.,6916.0,12.41,85844.13
Dharashiv Sahakari Sakhar Karkhana Ltd.,Natural Sugar & Allied Ind. Ltd.,3458.0,27.71,95837.97
Dharashiv Sahakari Sakhar Karkhana Ltd.,Natural Sugar & Allied Ind. Ltd.,3458.0,27.71,95837.97
Bhairavnath Sugar Works Ltd. Unit-6 (Terna),Natural Sugar & Allied Ind. Ltd.,13832.0,31.48,435463.76
Bhairavnath Sugar Works Ltd. Unit-6 (Terna),Natural Sugar & Allied Ind. Ltd.,13832.0,31.48,435463.76
Babanraoji Shinde Sugar & Allied Industries Ltd.,Natural Sugar & Allied Ind. Ltd.,3504.0,41.07,143921.07
Raigaon Sugar & Power Ltd.,Oasis Alcohol Ltd.,24235.6,23.44,568161.19
Sahyadri Sahakari Sakhar Karkhana Ltd. – Sahyadri,Oasis Alcohol Ltd.,10712.4,25.45,272586.6
Yashwantrao Mohite Krishna S.S.K. Ltd. – Krishna,Oasis Alcohol Ltd.,6516.48,47.07,306757.17
Rajarambapu Patil Sahakari Sakhar Karkhana Ltd. (Unit-1),Oasis Alcohol Ltd.,19364.8,58.34,1129748.34
Padmabhushan Krantiveer Dr. Nagnathanna Nayakawadi Hutatma Kisan Ahir SSK Ltd.,Oasis Alcohol Ltd.,6670.72,66.12,441052.63
Padmashri Dr. Vitthalrao Vikhe Patil S.S.K. Ltd.,Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd.,13832.0,1.01,13944.81
Dr. Baburao Bapuji Tanpure S.S.K. Ltd. – Rahuri,Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd.,2198.0,17.96,39482.08
Shri Gajanan Maharaj Sugar Ltd. (Utech Sugar Ltd.),Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd.,9682.4,27.1,262437.04
Shri Gajanan Maharaj Sugar Ltd. (Utech Sugar Ltd.),Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd.,9682.4,27.1,262437.04
Shri Gajanan Maharaj Sugar Ltd. (Utech Sugar Ltd.),Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd.,9682.4,27.1,262437.04
Sahakarmaharshi Bhausaheb Thorat S.S.K. Ltd. – Sangamner,Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd.,16598.4,33.0,547698.12
Purna Sahakari Sakhar Karkhana Ltd.,Purna SSK Ltd.,6916.0,4.9,33904.98
